anime_id,Name,Score,Genres,English name,Episodes
158,Maria-sama ga Miteru,7.34,"Slice of Life, Drama, Romance, Shoujo, Shoujo Ai",Maria Watches Over Us,13
159,Boukyaku no Senritsu,6.34,"Adventure, Fantasy, Horror, Mecha, Psychological, Sci-Fi, Shounen, Space, Supernatural",The Melody of Oblivion,24
160,"Ima, Soko ni Iru Boku",7.66,"Adventure, Drama, Fantasy, Military, Sci-Fi","Now and Then, Here and There",13
161,Peace Maker Kurogane,7.33,"Action, Comedy, Historical, Samurai, Shounen",Peace Maker Kurogane,24
162,Pita Ten,6.94,"Comedy, Fantasy, Kids, Romance, School, Shounen",Pita-Ten,26
163,Power Stone,6.48,"Adventure, Comedy, Fantasy, Historical, Shounen",Unknown,26
164,Mononoke Hime,8.72,"Action, Adventure, Fantasy",Princess Mononoke,1
165,RahXephon,7.42,"Action, Drama, Mecha, Music, Mystery, Psychological, Romance, Sci-Fi",RahXephon,26
166,Samurai 7,7.48,"Historical, Mecha, Samurai, Sci-Fi",Samurai 7,26
167,Scrapped Princess,7.41,"Sci-Fi, Adventure, Comedy, Drama, Fantasy, Mecha, Shounen",Scrapped Princess,24
168,s.CRY.ed,7.38,"Action, Sci-Fi, Adventure, Super Power, Drama",s-CRY-ed,26
169,Shingetsutan Tsukihime,6.91,"Action, Horror, Mystery, Romance, Super Power, Supernatural, Vampire",Lunar Legend Tsukihime,12
170,Slam Dunk,8.53,"Comedy, Drama, School, Shounen, Sports",Slam Dunk,101
171,Strange Dawn,6.35,"Adventure, Drama, Fantasy",Unknown,13
173,Tactics,7.23,"Mystery, Comedy, Historical, Demons, Supernatural, Drama, Shounen",Unknown,25
174,Tenjou Tenge,6.93,"Action, Ecchi, Martial Arts, Comedy, Super Power, School, Shounen",Tenjho Tenge,24
175,Tokyo Underground,6.63,"Action, Adventure, Romance, Sci-Fi, Shounen, Super Power",Tokyo Underground,26
176,Triangle Heart: Sweet Songs Forever,6.19,"Adventure, Romance",Unknown,4
177,Tsubasa Chronicle,7.55,"Action, Adventure, Fantasy, Magic, Romance, Supernatural, Shounen",Tsubasa RESERVoir CHRoNiCLE,26
178,Ultra Maniac,7.18,"Comedy, Magic, Romance, School, Shoujo",Ultramaniac - Magical Girl,26
179,Ultra Maniac OVA,6.69,"Comedy, Magic, Romance, School",Unknown,1
180,Vandread,7.21,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space",Vandread,13
181,Vandread: The Second Stage,7.42,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space",Unknown,13
182,Tenkuu no Escaflowne,7.7,"Adventure, Psychological, Romance, Fantasy, Mecha",The Vision of Escaflowne,26
183,Whistle!,7.39,"School, Shounen, Sports",Unknown,39
184,Xenosaga The Animation,6.37,"Action, Mecha, Sci-Fi, Shounen, Space",Unknown,12
185,Initial D First Stage,8.29,"Action, Cars, Drama, Seinen, Sports",Initial D First Stage,26
186,Initial D Second Stage,8.12,"Action, Cars, Drama, Seinen, Sports",Initial D Second Stage,13
187,Initial D Third Stage,7.89,"Action, Cars, Sports, Drama, Romance, Seinen",Unknown,1
188,Gosenzo San'e,6.11,"Comedy, Hentai, Mystery, Supernatural",Masquerade,4
189,Love Hina,7.14,"Comedy, Ecchi, Harem, Romance, Shounen, Slice of Life",Love Hina,24
190,Love Hina Again,7.25,"Comedy, Drama, Ecchi, Romance, Shounen",Love Hina Again,3
191,Love Hina Christmas Special: Silent Eve,7.34,"Slice of Life, Comedy, Romance",Love Hina Christmas Movie,1
192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,7.21,"Adventure, Comedy, Romance",Love Hina Spring Movie,1
193,Maburaho,6.8,"Comedy, Drama, Ecchi, Harem, Magic, Romance, School",Maburaho,24
194,Macross Zero,7.55,"Adventure, Mecha, Military, Sci-Fi, Shounen",Macross Zero,5
195,Onegai☆Teacher,7.17,"Sci-Fi, Comedy, Drama, Romance, School",Please Teacher!,12
196,Onegai☆Twins,6.88,"Comedy, Drama, Harem, School, Sci-Fi",Please Twins,12
197,Rizelmine,6.55,"Sci-Fi, Comedy, Romance, Ecchi, School",Unknown,24
198,Speed Grapher,7.35,"Action, Mystery, Super Power",Speed Grapher,24
199,Sen to Chihiro no Kamikakushi,8.83,"Adventure, Supernatural, Drama",Spirited Away,1
200,Tenshi na Konamaiki,7.48,"Comedy, Magic, Romance, Shounen",Cheeky Angel,50
201,Video Girl Ai,7.21,"Comedy, Drama, Ecchi, Romance",Video Girl Ai,6
202,Wolf's Rain,7.82,"Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi",Wolf's Rain,26
203,Words Worth,6.75,"Adventure, Hentai, Demons, Magic, Fantasy",Unknown,5
204,Yumeria,6.11,"Action, Comedy, Ecchi, Harem, Super Power",Unknown,12
205,Samurai Champloo,8.5,"Action, Adventure, Comedy, Historical, Samurai, Shounen",Samurai Champloo,26
206,Lodoss-tou Senki: Eiyuu Kishi Den,7.16,"Action, Adventure, Drama, Magic, Romance, Fantasy",Record of Lodoss War:Chronicles of the Heroic Knight,27
207,Lodoss-tou Senki,7.4,"Action, Adventure, Fantasy, Magic, Shounen, Supernatural",Record of Lodoss War,13
208,R.O.D: Read or Die,7.67,"Action, Sci-Fi, Adventure, Mystery, Historical, Magic",R.O.D - Read or Die,3
209,R.O.D: The TV,7.55,"Action, Sci-Fi, Adventure, Comedy, Super Power, Drama",R.O.D -The TV-,26
210,Ranma ½,7.76,"Slice of Life, Comedy, Martial Arts, Fantasy, Shounen",Ranma ½,161
211,Pure Mail,6.26,Hentai,Unknown,2
212,Project A-Ko,6.86,"Action, Adventure, Comedy, Mecha, Sci-Fi, Super Power",Unknown,1
213,Pia Carrot e Youkoso!!,6.02,"Comedy, Romance, Hentai",Welcome to Pia Carrot,3
214,Pia Carrot e Youkoso!! 2,6.15,"Comedy, Romance, Hentai",Welcome To Pia Carrot 2,3
215,Pia Carrot e Youkoso!! 2 DX,6.31,"Comedy, Romance",Unknown,6
216,Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,5.94,"Comedy, Romance",Welcome to Pia Carrot! Sayaka's Love Story,1
217,Shin Angel,6.28,"Comedy, Drama, Hentai, Romance",New Angel,5
218,Kidou Senkan Nadesico,7.52,"Action, Comedy, Mecha, Military, Parody, Romance, Sci-Fi, Shounen, Space",Martian Successor Nadesico,26
219,Kidou Senkan Nadesico: The Prince of Darkness,6.77,"Action, Comedy, Drama, Mecha, Psychological, Sci-Fi, Shounen, Space",Martian Successor Nadesico:The Prince of Darkness,1
220,Kuro no Danshou,5.76,"Hentai, Horror",Mystery of the Necronomicon,4
221,Mezzo Forte,6.65,"Action, Comedy, Hentai, Sci-Fi",Unknown,2
222,Mezzo DSA,6.68,"Action, Adventure, Comedy, Mystery, Sci-Fi",Unknown,13
223,Dragon Ball,8.0,"Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",Dragon Ball,153
225,Dragon Ball GT,6.48,"Action, Sci-Fi, Adventure, Comedy, Super Power, Magic, Fantasy, Shounen",Dragon Ball GT,64
226,Elfen Lied,7.56,"Action, Horror, Psychological, Supernatural, Drama, Romance, Seinen",Elfen Lied,13
227,FLCL,8.03,"Action, Sci-Fi, Comedy, Parody, Dementia, Psychological, Mecha",FLCL,6
228,Jigoku Shoujo,7.65,"Mystery, Horror, Psychological, Supernatural",Hell Girl,26
229,Ninin ga Shinobuden,6.92,"Comedy, Parody, Martial Arts",Ninja Nonsense,12
230,Air Master,7.02,"Action, Comedy, Martial Arts, Seinen",Air Master,27
231,Asagiri no Miko,6.18,"Action, Comedy, Supernatural, Fantasy, Seinen",Shrine of the Morning Mist,26
232,Cardcaptor Sakura,8.16,"Adventure, Comedy, Drama, Magic, Romance, Fantasy, School, Shoujo",Cardcaptor Sakura,70
233,Daa! Daa! Daa!,7.65,"Comedy, Sci-Fi, Shoujo",Unknown,78
234,Dan Doh!!,6.69,"Adventure, Sports, Shounen",Unknown,26
235,Detective Conan,8.16,"Adventure, Mystery, Comedy, Police, Shounen",Case Closed,Unknown
236,E's Otherwise,6.64,"Adventure, Comedy, Drama, Military, Sci-Fi, Shounen, Supernatural",E's Otherwise,26
237,Koukyoushihen Eureka Seven,8.09,"Adventure, Drama, Mecha, Romance, Sci-Fi",Eureka Seven,50
238,Rekka no Honoo,7.36,"Action, Adventure, Martial Arts, Shounen, Super Power",Flame of Recca,42
239,Gankutsuou,8.17,"Drama, Mystery, Sci-Fi, Supernatural, Thriller",Gankutsuou:The Count of Monte Cristo,24
240,Genshiken,7.66,"Slice of Life, Comedy, Parody",Genshiken,12
241,Girls Bravo: First Season,6.45,"Harem, Comedy, Romance, Ecchi, Fantasy, School, Shounen",Girls Bravo,11
242,Gokusen,7.42,"Slice of Life, Comedy, Drama, School, Josei",The Gokusen,13
243,Gravitation,7.02,"Comedy, Music, Romance, Shoujo, Shounen Ai",Gravitation,13
244,Agatha Christie no Meitantei Poirot to Marple,6.88,"Historical, Mystery",Agatha Christie's Great Detectives Poirot and Marple,39
245,Great Teacher Onizuka,8.7,"Slice of Life, Comedy, Drama, School, Shounen",Great Teacher Onizuka,43
246,Groove Adventure Rave,7.27,"Adventure, Comedy, Fantasy, Romance, Shounen",Rave Master,51
247,Harukanaru Toki no Naka de: Hachiyou Shou,7.05,"Fantasy, Magic, Supernatural, Demons, Historical, Shoujo",Haruka:Beyond the Stream of Time – A Tale of the Eight Guardians,26
248,Ichigo 100%,6.68,"Comedy, Ecchi, Harem, Romance, Shounen",Strawberry 100%,12
249,InuYasha,7.85,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Romance, Fantasy, Shounen",InuYasha,167
250,Konjiki no Gash Bell!!,7.55,"Adventure, Comedy, Demons, Supernatural, Magic, Shounen",Zatch Bell!,150
251,Kyou kara Maou!,7.7,"Adventure, Comedy, Demons, Fantasy, Shoujo",King From Now On!,78
252,Madlax,7.07,"Military, Mystery, Psychological, Supernatural, Drama, Magic, Shounen",Unknown,26
253,Jungle wa Itsumo Hare nochi Guu,7.84,"Slice of Life, Comedy, School",Haré+Guu,26
254,Jungle wa Itsumo Hare nochi Guu Deluxe,7.83,"Comedy, Slice of Life",Haré+Guu Deluxe,6
255,Jungle wa Itsumo Hare nochi Guu Final,7.65,"Slice of Life, Comedy",Unknown,7
256,Hoshi no Koe,7.22,"Sci-Fi, Space, Drama, Romance, Mecha",Voices of a Distant Star,1
257,Ikkitousen,6.45,"Ecchi, Super Power, Martial Arts, School",Ikki Tousen,13
258,Hitsuji no Uta,6.23,"Horror, Drama, Vampire",Unknown,4
259,Happy☆Lesson,6.64,"Comedy, Harem, Romance, School",Unknown,5
260,Happy☆Lesson (TV),6.67,"Comedy, Drama, Harem, Romance, Slice of Life",Unknown,13
261,Happy☆Lesson: Advance,6.84,"Comedy, Harem, Romance, Slice of Life",Unknown,13
262,Happy☆Lesson: The Final,6.83,"Comedy, Harem, Romance, School",Unknown,3
263,Hajime no Ippo,8.75,"Comedy, Sports, Drama, Shounen",Fighting Spirit,75
264,Hajime no Ippo: Champion Road,8.29,"Comedy, Shounen, Sports",Fighting Spirit:Champion Road,1
265,Hajime no Ippo: Mashiba vs. Kimura,8.23,"Comedy, Sports, Shounen",Unknown,1
266,Gunparade March: Arata Naru Kougunka,6.8,"Drama, Mecha, Military, Romance, Sci-Fi, Shounen, Slice of Life",Gunparade March:A New Song for the March,12
267,Gungrave,7.87,"Action, Drama, Sci-Fi, Seinen, Super Power",Gungrave,26
268,Golden Boy,8.03,"Adventure, Comedy, Ecchi",Golden Boy,6
269,Bleach,7.8,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",Bleach,366
270,Hellsing,7.5,"Action, Horror, Supernatural, Vampire, Seinen",Hellsing,13
271,Gad Guard,6.7,"Sci-Fi, Adventure, Mecha, Shounen",Unknown,26
272,Noir,7.31,"Action, Mystery, Drama",Noir,26
273,Mahoutsukai ni Taisetsu na Koto,6.75,"Slice of Life, Drama, Magic, Shounen",Someday's Dreamers,12
274,Kiddy Grade,7.22,"Action, Sci-Fi, Super Power, Ecchi, Mecha",Kiddy Grade,24
275,Love♥Love?,5.91,"Ecchi, Comedy, Harem, Romance",Love♥Love?,9
276,Mahoromatic: Automatic Maiden,7.18,"Comedy, Ecchi, Military, Romance, Sci-Fi",Mahoromatic:Automatic Maiden,12
